ra_deg,dec_deg,mag,nama,bayer,konstelasi,hip
101.28722,-16.71612,-1.44,Sirius,Alp,CMa,32349
95.98792,-52.69566,-0.62,Canopus,Alp,Car,30438
213.91545,19.18241,-0.05,Arcturus,Alp,Boo,69673
219.91147,-60.83398,-0.01,Rigil Kentaurus,Alp-1,Cen,71683
279.23460,38.78369,0.03,Vega,Alp,Lyr,91262
79.17225,45.99799,0.08,Capella,Alp,Aur,24608
78.63447,-8.20164,0.18,Rigel,Bet,Ori,24436
114.82550,5.22499,0.40,Procyon,Alp,CMi,37279
24.42834,-57.23676,0.45,Achernar,Alp,Eri,7588
88.79293,7.40706,0.45,Betelgeuse,Alp,Ori,27989
210.95594,-60.37304,0.61,Hadar,Bet,Cen,68702
297.69582,8.86832,0.76,Altair,Alp,Aql,97649
186.64966,-63.09909,0.77,Acrux,Alp-1,Cru,60718
68.98016,16.50930,0.87,Aldebaran,Alp,Tau,21421
79.16889,46.00084,0.96,,,Aur,
201.29825,-11.16132,0.98,Spica,Alp,Vir,65474
247.35192,-26.43200,1.06,Antares,Alp,Sco,80763
116.32916,28.02620,1.16,Pollux,Bet,Gem,37826
344.41257,-29.62224,1.17,Fomalhaut,Alp,PsA,113368
191.93039,-59.68876,1.25,Mimosa,Bet,Cru,62434
310.35798,45.28034,1.25,Deneb,Alp,Cyg,102098
219.90519,-60.83830,1.35,Toliman,Alp-2,Cen,71681
152.09298,11.96721,1.36,Regulus,Alp,Leo,49669
104.65645,-28.97208,1.50,Adhara,Eps,CMa,33579
113.64951,31.88828,1.58,Castor,Alp,Gem,36850
187.79144,-57.11321,1.59,Gacrux,Gam,Cru,61084
263.40217,-37.10382,1.62,Shaula,Lam,Sco,85927
81.28276,6.34970,1.64,Bellatrix,Gam,Ori,25336
81.57297,28.60745,1.65,Elnath,Bet,Tau,25428
138.30061,-69.71721,1.67,Miaplacidus,Bet,Car,45238
84.05338,-1.20192,1.69,Alnilam,Eps,Ori,26311
332.05813,-46.96097,1.73,Alnair,Alp,Gru,109268
85.18970,-1.94257,1.74,Alnitak,Zet,Ori,26727
122.38314,-47.33659,1.75,,Gam-2,Vel,39953
193.50708,55.95982,1.76,Alioth,Eps,UMa,62956
51.08067,49.86118,1.79,Mirfak,Alp,Per,15863
276.04302,-34.38462,1.79,Kaus Australis,Eps,Sgr,90185
165.93233,61.75103,1.81,Dubhe,Alp,UMa,54061
107.09785,-26.39320,1.83,Wezen,Del,CMa,34444
206.88531,49.31327,1.85,Alkaid,Eta,UMa,67301
125.62854,-59.50948,1.86,Avior,Eps,Car,41037
264.32970,-42.99782,1.86,Sargas,The,Sco,86228
89.88224,44.94743,1.90,Menkalinan,Bet,Aur,28360
252.16616,-69.02772,1.91,Atria,Alp,TrA,82273
99.42792,16.39925,1.93,Alhena,Gam,Gem,31681
131.17588,-54.70882,1.93,Alsephina,Del,Vel,42913
306.41188,-56.73509,1.94,Peacock,Alp,Pav,100751
37.94625,89.26411,1.97,Polaris,Alp,UMi,11767
95.67494,-17.95592,1.98,Mirzam,Bet,CMa,30324
141.89685,-8.65860,1.99,Alphard,Alp,Hya,46390
31.79333,23.46242,2.01,Hamal,Alp,Ari,9884
154.99309,19.84149,2.01,Algieba,Gam-1,Leo,50583
10.89735,-17.98661,2.04,Diphda,Bet,Cet,3419
283.81635,-26.29672,2.05,Nunki,Sig,Sgr,92855
211.67093,-36.36995,2.06,Menkent,The,Cen,68933
2.09687,29.09043,2.07,Alpheratz,Alp,And,677
17.43291,35.62056,2.07,Mirach,Bet,And,5447
86.93912,-9.66961,2.07,Saiph,Kap,Ori,27366
222.67658,74.15551,2.07,Kochab,Bet,UMi,72607
340.66672,-46.88458,2.07,Tiaki,Bet,Gru,112122
263.73361,12.56003,2.08,Rasalhague,Alp,Oph,86032
47.04222,40.95565,2.09,Algol,Bet,Per,14576
30.97476,42.32973,2.10,Almach,Gam-1,And,9640
177.26494,14.57206,2.14,Denebola,Bet,Leo,57632
14.17714,60.71674,2.15,Cih,Gam,Cas,4427
190.37957,-48.95989,2.20,,Gam,Cen,61932
120.89606,-40.00315,2.21,Naos,Zet,Pup,39429
139.27257,-59.27523,2.21,Aspidiske,Iot,Car,45556
233.67192,26.71469,2.22,Alphecca,Alp,CrB,76267
136.99902,-43.43259,2.23,Suhail,Lam,Vel,44816
200.98120,54.92536,2.23,Mizar,Zet,UMa,65378
305.55710,40.25668,2.23,Sadr,Gam,Cyg,100453
10.12674,56.53733,2.24,Schedar,Alp,Cas,3179
269.15155,51.48889,2.24,Eltanin,Gam,Dra,87833
83.00168,-0.29909,2.25,Mintaka,Del,Ori,25930
2.29331,59.14978,2.28,Caph,Bet,Cas,746
204.97194,-53.46639,2.29,,Eps,Cen,66657
240.08335,-22.62171,2.29,Dschubba,Del,Sco,78401
252.54120,-34.29323,2.29,Larawag,Eps,Sco,82396
220.48235,-47.38820,2.30,,Alp,Lup,71860
218.87679,-42.15782,2.33,,Eta,Cen,71352
165.46016,56.38243,2.34,Merak,Bet,UMa,53910
221.24676,27.07422,2.35,Izar,Eps,Boo,72105
326.04650,9.87501,2.38,Enif,Eps,Peg,107315
265.62198,-39.02998,2.39,,Kap,Sco,86670
6.57084,-42.30598,2.40,Ankaa,Alp,Phe,2081
178.45752,53.69476,2.41,Phecda,Gam,UMa,58001
257.59452,-15.72491,2.43,Sabik,Eta,Oph,84012
345.94351,28.08279,2.44,Scheat,Bet,Peg,113881
111.02376,-29.30310,2.45,Aludra,Eta,CMa,35904
319.64445,62.58557,2.45,Alderamin,Alp,Cep,105199
140.52843,-55.01067,2.47,Markeb,Kap,Vel,45941
