nama,lat,lon,elevasi_m
0,-3.869083,127.192861,608
Aar,-5.340278,133.148056,
Abasong,-0.799400,122.415600,
Acasta,1.650000,106.316667,
Adian Alim,1.972800,99.838500,
Adian Antahasi,1.748611,99.052500,
Adian Arong,0.820500,99.433100,
Adian Balakka,1.488056,99.367778,
Adian Balanka,1.378889,99.389444,
Adian Bargotpoli,1.593611,98.912500,
Adian Bariang,1.422500,99.675000,
Adian Batang,0.613000,99.461300,
Adian Bulu Parapat,1.680000,99.603611,
Adian Hoteng,1.215278,99.655000,
Adian Malakut,1.523056,99.177500,
Adian Mangilki,1.735278,99.583889,
Adian Manis-Manis,0.797000,99.326500,
Adian Na Godang,0.773000,99.488700,
Adian Nabusuk,1.818600,99.665800,
Adian Napahomba,1.735556,99.614444,
Adian Ni Ogungan,1.421111,99.451944,
Adian Padang Halilo,1.585278,99.671944,
Adian Panetepan,1.707500,99.057222,
Adian Pangarimbasan,1.578889,99.190833,
Adian ParaPara,1.634167,99.655556,
Adian Rindang,1.215600,99.234700,
Adian Sampilpil,1.022222,99.223611,
Adian Sipalis,1.073056,99.545556,
Adian Sirabun,1.536111,99.181944,
Adian Sirenjeng,1.608889,99.650000,
Adian Sumur,1.270278,99.287222,
Adian Tamosu,1.306389,99.448889,
Adian Toras,1.046944,99.523889,
Adian Tusam,1.666111,99.440278,
Adianbatu,0.908400,99.271700,
Adianetek,1.793400,98.947800,
Adianlange,2.606389,99.321667,
Adianlangit,2.594722,99.268889,
Adola,-1.919444,129.861944,
Aek Suncang,1.041667,99.504722,
Aekbundong,1.476944,99.972778,
Almasi,-3.174444,128.169167,
Aloban,2.215830,97.209170,
Amintolan,2.096000,97.115600,
Anakbatumasapewe,-4.311944,119.350278,
Anaklampe,-4.409167,119.588889,
Anaklampe,-4.414444,119.578611,
Andromeda,-4.944000,140.805700,
Angemuk,-3.500000,138.566670,
Antoinette Peak,4.152500,117.748300,
Api,-4.522390,129.879310,
Arem,-5.150000,140.983333,
Argapura,-6.700000,111.516667,
Aruku,1.782500,127.638300,
Asalhahu,-3.185000,128.198611,
Aubil,-1.845500,126.286700,
Autuf Afuna,-9.517222,124.702500,
Autuf Aitio,-9.533333,124.653333,
Autuf Fatubau,-9.539167,124.635833,
Autuf Kabola,-9.554722,124.670556,
Autuf Kofutu,-9.522778,124.676667,
Autuf Kuatimu,-9.559722,124.668889,
Autuf Kution,-9.547222,124.638889,
Autuf Lotu,-9.536389,124.646111,
Autuf Nutobe,-9.528333,124.675278,
Autuf Oenae,-9.531111,124.663333,
Autuf Oepaha,-9.503889,124.682778,
Autuf Teke,-9.549722,124.665833,
Autuf Tupun,-9.463056,124.645278,
Autuf Usapibuitna,-9.502222,124.640278,
Babahangin,4.547500,96.761000,
Baginte,0.555833,121.981944,
Bagul,3.673056,108.235000,
Baham,-3.071900,132.693500,
Bakulu,1.816700,127.648300,
Bala,0.381700,109.153300,
Balandai,-4.313889,119.391667,
Balangkagading,1.577778,99.314444,
Balepepale,3.402500,125.618056,
Balile,-8.375800,123.280000,
Bananga,0.795000,120.290278,
Bandar Buluan,1.705750,99.074960,
Banjaran Apo Duat,3.675700,115.574070,
Banoko Oem,-9.351111,124.614722,
Banua Wuhu,3.137778,125.490556,-5
Bapeng Godo,-1.813300,124.758300,
Bapeng Mbehang,-1.798600,124.907400,
Bapeng Sofan,-1.885010,124.969280,
Bariangi,3.671111,125.426944,
Barue,-2.924167,128.637222,
Barujari,-8.411294,116.422104,2376
Batakbual,-3.519170,127.141670,
Batang Jung,-1.113611,100.999444,
Bateemeucica,5.233330,95.500000,
Batu Anaktomisa,-4.350556,119.524722,
Batu Angin,-4.599444,119.543333,
Batu Anyer,-1.175000,128.497778,
Batu Balor,-8.545278,119.858889,
Batu Barebaraya,-5.063056,119.459444,
Batu Bawa,-4.617222,119.478333,
Batu Bendang,0.850000,108.866667,
Batu Berhanti,1.187500,103.880560,
Batu Berlayar,3.321111,97.100833,
Batu Berlayar,2.872222,100.626389,
Batu Biawak,-1.365800,100.563300,
Batu Blian,0.618333,103.495278,
Batu Bramil,-2.955833,110.460000,
Batu Buaya,-2.519167,110.173333,
Batu Buntunga,-4.600000,117.100000,
Batu Burukang,-5.085833,119.450000,
Batu Burung,5.117500,95.261389,
Batu Cawar,-6.516667,105.650000,
Batu Colonge,-4.393056,119.571667,
Batu Dange,-4.623056,119.324444,
Batu Dennacamba,-4.673611,119.472500,
Batu Dinya,-4.867500,119.487778,
Batu Enget,-1.785000,129.708333,
Batu Galingang,-5.550278,119.415000,
Batu Hol,2.466667,109.016667,
Batu Ila,-5.125278,119.091111,
Batu Impang,-4.727500,119.468333,
Batu Imung,4.629444,107.971111,
Batu Isere,-4.980556,119.184444,
Batu Isere,-4.957500,119.339444,
Batu Janggi,0.635278,103.392222,
Batu Jawia,-5.557778,119.635833,
Batu Jumak,1.955000,115.226667,
Batu Kajang,0.630833,103.426667,
Batu Kalobano,-4.608611,119.348889,
Batu Kapal,1.550833,125.301111,
Batu Kapal,1.833889,125.114444,
Batu Kapal,-8.429444,119.033056,
Batu Karang Hitam,-2.064444,130.826944,
Batu Kiki,-4.058056,119.635278,
Batu Kurung Buha,-8.766667,118.383333,
Batu Labua,-4.916667,119.420833,
Batu Labua,-5.047222,119.218611,
Batu Labua,-4.645556,119.312778,
Batu Langkai,-0.929722,122.046111,
Batu Lantee,-8.611700,117.290000,
Batu Layang Layang,-3.916667,114.600000,
Batu Layar,-2.700000,132.633333,
Batu Layar,-7.032222,112.707222,
Batu Lompoa,-4.732222,119.448056,
Batu Longalonga,-5.043056,119.416389,
Batu Lua,-4.984444,119.446944,
Batu Luak,-10.600000,123.400000,
Batu Luar,-4.799722,119.400000,
Batu Luara,-4.756667,119.405000,
Batu Lumajagu,1.083333,122.100000,
Batu Malaja,-4.297222,119.619167,
Batu Mampar,0.526111,99.480278,
Batu Manaba,-4.933333,119.336389,
Batu Mandi,5.351111,95.214444,
Batu Mandi,0.550000,97.750000,
Batu Mandi,2.871111,100.684444,
Batu Mandi,0.469167,124.523889,
Batu Maniwasa,-4.887222,119.426944,
Batu Maru,-4.749167,119.469722,
Batu Masongoa,-5.008611,119.454444,
Batu Meja,0.916667,123.433333,
Batu Mesjid,4.737400,97.150500,
Batu Monco,-8.500000,119.500000,
Batu Mondang,-5.009167,119.442778,
Batu Nanggarajati,1.681111,99.353333,
Batu Nombonga,-4.872500,119.356944,
Batu Nusalai,-10.583333,123.183333,
Batu Oranlat,-3.456667,130.077778,
Batu Pabebiabang,-4.914167,119.393056,
Batu Pacikowa,-4.957500,119.160556,
Batu Pacil,2.466667,109.000000,
Batu Pamangaliang,-4.751389,119.269444,
Batu Pandita,1.683333,125.183333,
Batu Pankaya,-4.596944,119.405556,
Batu Papepeabang,-4.931944,119.376944,
Batu Parang,-6.100000,105.433333,
Batu Pase,-4.628611,119.337222,
Batu Patintingan,-4.926389,119.126389,
Batu Payang,-3.866667,114.600000,
Batu Payung,0.816667,108.850000,
Batu Pendita,-1.766667,135.766667,
Batu Penu,4.611111,108.059444,
Batu Pincalang,1.652500,98.463400,
Batu Puabada,-4.602778,119.328611,
Batu Pungallah,-4.890833,119.502500,
Batu Punghati,-4.896389,119.481389,
Batu Punting,3.455833,125.669722,
Batu Putih,-2.961667,128.425000,
Batu Putih,-5.700000,132.166667,
Batu Rahit,0.985833,107.601944,
Batu Rambang,-8.548611,119.866389,
Batu Ria,3.058056,108.878889,
Batu Sangisangi,-4.177778,123.209444,
Batu Saranga,-4.906389,119.495556,
Batu Serampuk,-5.500000,105.359444,
Batu Simunu,0.884722,98.898611,
Batu Tamusu,-4.911111,119.347222,
Batu Tangaya,-4.916389,119.514167,
Batu Tani,-0.450000,128.500000,
Batu Tapampang,-4.839722,119.241111,
Batu Tapampang,-4.684722,119.309167,
Batu Tapampang,-4.828889,119.244444,
Batu Tello,-4.818056,119.442222,
Batu Tello,-4.509167,119.531111,
Batu Tepurung,3.192222,125.512500,
Batu Tinggi,-4.254444,122.911389,
Batu Tokong,0.623333,103.457500,
Batu Tolong,-4.075000,119.629722,
Batu Ufu,-10.267400,123.320800,
Batu Unarang,4.011111,118.075000,
Batu Utara,2.922778,100.596111,
Batu Watmomal,-7.143056,131.710278,
Batu kakiraeng,3.495556,125.560556,
Batu line,3.656111,125.480000,
Batu ngbakara,3.524722,125.522222,
Batukabuyutan,-7.539722,107.483611,
Batukoceng,-7.060000,112.963333,
Batumasapewe,-4.310556,119.341944,
Batunagodang,2.200400,98.795600,
Batunanuk,-3.138333,128.314167,
Batuporon,-7.158100,112.755600,
Baturakit,0.783333,108.766667,
Batusuluh,-5.628333,105.190278,
Bea Belang,-8.501667,120.265556,
Beau,0.500556,120.387222,
Bekaka,0.828889,103.793333,
Belo Banta,-8.425833,119.283333,
Belukar,-8.831944,115.091667,
Bentihu Arengkambing,3.448889,125.660000,
Bentihu Bio,3.431389,125.536389,
Bentihu Sahandarumang,3.498056,125.513056,
Benua Tengah,-3.857500,114.668300,
Beontong,0.935556,123.495000,
Bequ,0.588611,121.520278,
Berantak,-1.262500,109.509200,
Betelgeuze,-4.917200,140.427000,
Betung Betangkai,-5.584444,104.533333,
Betung setangkai,-5.667900,104.610300,
Bialangsoa,3.473889,125.546389,
Bintang,4.571800,96.988600,
Bio,3.700300,125.414800,
Biri  Balokawangi,-2.113333,120.508333,
Biri  Bangko,-2.116944,120.184167,
Biri  Dowe,-2.130278,120.478611,
Biri  Haweani,-2.197222,120.286944,
Biri  Karompa,-2.081111,120.513333,
Biri  Konino,-2.096667,120.320556,
Biri  Laladatu,-2.143056,120.327778,
Biri  Mokoka,-2.071667,120.334722,
Biri  Mui,-2.128889,120.348611,
