konstelasi,ra1_deg,dec1_deg,ra2_deg,dec2_deg
And,30.9748,42.3297,17.4330,35.6206
And,17.4330,35.6206,9.8320,30.8610
And,9.8320,30.8610,2.0969,29.0904
And,14.3017,23.4176,11.8347,24.2672
And,11.8347,24.2672,9.6389,29.3118
And,9.6389,29.3118,9.8320,30.8610
And,9.8320,30.8610,9.2202,33.7193
And,9.2202,33.7193,354.5342,43.2681
And,354.5342,43.2681,345.4803,42.3260
And,354.5342,43.2681,355.1021,44.3339
And,355.1021,44.3339,354.3910,46.4582
And,17.4330,35.6206,14.1884,38.4993
And,14.1884,38.4993,12.4535,41.0789
And,12.4535,41.0789,17.3755,47.2418
And,17.3755,47.2418,24.4982,48.6282
And,355.1021,44.3339,356.5085,46.4203
Ant,142.3113,-35.9513,156.7879,-31.0678
Ant,156.7879,-31.0678,164.1794,-37.1378
Aps,221.9655,-79.0448,245.0867,-78.6957
Aps,245.0867,-78.6957,250.7694,-77.5174
Aps,250.7694,-77.5174,248.3628,-78.8971
Aqr,311.9190,-9.4958,313.1635,-8.9833
Aqr,313.1635,-8.9833,322.8897,-5.5712
Aqr,322.8897,-5.5712,331.4460,-0.3199
Aqr,331.4460,-0.3199,335.4141,-1.3873
Aqr,335.4141,-1.3873,337.2080,-0.0200
Aqr,337.2080,-0.0200,338.8391,-0.1175
Aqr,338.8391,-0.1175,343.1536,-7.5796
Aqr,343.1536,-7.5796,349.4759,-9.1825
Aqr,349.4759,-9.1825,347.3617,-21.1724
Aqr,322.8897,-5.5712,331.6093,-13.8697
Aqr,331.4460,-0.3199,334.2085,-7.7833
Aqr,337.2080,-0.0200,336.3193,1.3774
Aqr,350.7426,-20.1006,349.4759,-9.1825
Aqr,349.4759,-9.1825,355.4409,-17.8165
Aql,296.5649,10.6133,297.6958,8.8683
Aql,297.6958,8.8683,298.8283,6.4068
Aql,298.8283,6.4068,302.8262,-0.8215
Aql,302.8262,-0.8215,298.1182,1.0057
Aql,298.1182,1.0057,291.3746,3.1148
Aql,291.3746,3.1148,286.3525,13.8635
Aql,286.3525,13.8635,297.6958,8.8683
Aql,297.6958,8.8683,291.3746,3.1148
Aql,291.3746,3.1148,286.5622,-4.8826
Ara,261.3486,-56.3777,262.7746,-60.6838
Ara,262.7746,-60.6838,252.4465,-59.0414
Ara,252.4465,-59.0414,254.6550,-55.9901
Ara,254.6550,-55.9901,254.8960,-53.1604
Ara,254.8960,-53.1604,262.9604,-49.8761
Ara,262.9604,-49.8761,261.3250,-55.5299
Ari,42.4960,27.2605,31.7934,23.4624
Ari,31.7934,23.4624,28.6600,20.8080
Ari,28.6600,20.8080,28.3826,19.2939
Aur,89.8822,44.9474,79.1723,45.9980
Aur,79.1723,45.9980,76.6287,41.2345
Aur,76.6287,41.2345,74.2484,33.1661
Aur,74.2484,33.1661,81.5730,28.6075
Aur,81.5730,28.6075,89.9303,37.2126
Aur,89.9303,37.2126,89.8822,44.9474
Aur,89.8822,44.9474,89.8818,54.2847
Aur,89.8818,54.2847,79.1723,45.9980
Aur,79.1723,45.9980,75.4922,43.8233
Aur,75.4922,43.8233,75.6195,41.0758
Boo,206.8156,17.4569,208.6712,18.3977
Boo,208.6712,18.3977,213.9153,19.1824
Boo,213.9153,19.1824,217.9575,30.3714
Boo,217.9575,30.3714,218.0195,38.3083
Boo,218.0195,38.3083,225.4865,40.3906
Boo,225.4865,40.3906,228.8757,33.3148
Boo,228.8757,33.3148,221.2467,27.0742
Boo,221.2467,27.0742,213.9153,19.1824
Boo,213.9153,19.1824,220.2873,13.7283
Boo,218.0195,38.3083,214.0959,46.0883
Boo,214.0959,46.0883,213.3659,51.7879
Boo,213.3659,51.7879,216.2992,51.8507
Boo,216.2992,51.8507,214.0959,46.0883
Cae,67.7087,-44.9537,70.1405,-41.8638
Cae,70.1405,-41.8638,70.5145,-37.1443
Cae,70.5145,-37.1443,76.1017,-35.4830
Cam,74.3217,53.7521,75.8545,60.4422
Cam,75.8545,60.4422,73.5125,66.3427
Cam,73.5125,66.3427,57.5896,71.3323
Cam,57.5896,71.3323,57.3803,65.5260
Cam,57.3803,65.5260,52.2672,59.9403
Cam,73.5125,66.3427,94.7116,69.3198
Cam,94.7116,69.3198,105.0168,76.9774
Cnc,134.6218,11.8577,131.1712,18.1543
Cnc,131.1712,18.1543,130.8214,21.4685
Cnc,130.8214,21.4685,131.6666,28.7651
Cnc,131.1712,18.1543,124.1288,9.1855
CVn,194.0019,38.3149,188.4356,41.3575
CMa,95.6749,-17.9559,101.2872,-16.7161
CMa,101.2872,-16.7161,105.7561,-23.8333
CMa,105.7561,-23.8333,107.0979,-26.3932
CMa,107.0979,-26.3932,105.4298,-27.9348
CMa,105.4298,-27.9348,104.6565,-28.9721
CMa,104.6565,-28.9721,95.0783,-30.0634
CMa,111.0238,-29.3031,107.0979,-26.3932
CMa,101.2872,-16.7161,104.0343,-17.0542
CMa,104.0343,-17.0542,105.9396,-15.6333
CMa,105.9396,-15.6333,103.5475,-12.0386
CMa,103.5475,-12.0386,104.0343,-17.0542
CMi,114.8255,5.2250,111.7877,8.2893
Cap,304.4120,-12.5082,305.2528,-14.7814
Cap,305.2528,-14.7814,307.2151,-17.8137
Cap,307.2151,-17.8137,311.5239,-25.2709
Cap,311.5239,-25.2709,312.9554,-26.9191
Cap,312.9554,-26.9191,321.6668,-22.4113
Cap,321.6668,-22.4113,326.7602,-16.1273
Cap,326.7602,-16.1273,325.0227,-16.6623
Cap,325.0227,-16.6623,320.5617,-16.8345
Cap,320.5617,-16.8345,316.4868,-17.2329
Cap,316.4868,-17.2329,304.4120,-12.5082
Car,99.4403,-43.1959,95.9880,-52.6957
Car,95.9880,-52.6957,138.2999,-69.7172
Car,138.2999,-69.7172,153.4342,-70.0379
Car,153.4342,-70.0379,160.7392,-64.3945
Car,160.7392,-64.3945,158.0061,-61.6853
Car,158.0061,-61.6853,154.2707,-61.3323
Car,154.2707,-61.3323,139.2725,-59.2752
Car,139.2725,-59.2752,125.6285,-59.5095
Car,125.6285,-59.5095,119.1946,-52.9824
Car,119.1946,-52.9824,122.3831,-47.3366
Car,122.3831,-47.3366,131.1759,-54.7088
Car,131.1759,-54.7088,139.2725,-59.2752
Car,160.7392,-64.3945,166.6351,-62.4241
Car,166.6351,-62.4241,167.1417,-61.9472
Car,167.1417,-61.9472,168.1501,-60.3176
Car,168.1501,-60.3176,167.1475,-58.9750
Car,167.1475,-58.9750,163.3736,-58.8532
Car,163.3736,-58.8532,158.0061,-61.6853
Cas,28.5989,63.6701,21.4540,60.2353
Cas,21.4540,60.2353,14.1772,60.7167
Cas,14.1772,60.7167,10.1268,56.5373
Cas,10.1268,56.5373,2.2945,59.1498
Cen,170.2517,-54.4910,182.0896,-50.7224
Cen,182.0896,-50.7224,187.0099,-50.2306
Cen,187.0099,-50.2306,190.3793,-48.9599
Cen,190.3793,-48.9599,204.9719,-53.4664
Cen,204.9719,-53.4664,208.8849,-47.2884
Cen,208.8849,-47.2884,207.4041,-42.4737
Cen,207.4041,-42.4737,207.3762,-41.6877
Cen,207.3762,-41.6877,211.6706,-36.3700
Cen,211.6706,-36.3700,218.8768,-42.1578
Cen,218.8768,-42.1578,224.7904,-42.1042
Cen,207.3762,-41.6877,200.1492,-36.7123
Cen,219.8962,-60.8372,204.9719,-53.4664
Cen,204.9719,-53.4664,210.9559,-60.3730
Cen,187.0099,-50.2306,182.9130,-52.3685
Cen,182.9130,-52.3685,172.9420,-59.4421
Cep,307.3954,62.9941,311.3224,61.8388
Cep,311.3224,61.8388,319.6449,62.5856
Cep,319.6449,62.5856,325.8769,58.7800
Cep,325.8769,58.7800,333.7591,57.0436
Cep,333.7591,57.0436,332.7137,58.2013
Cep,332.7137,58.2013,337.2928,58.4152
Cep,337.2928,58.4152,342.4201,66.2004
Cep,342.4201,66.2004,354.8369,77.6323
Cep,354.8369,77.6323,322.1650,70.5607
Cep,322.1650,70.5607,319.6449,62.5856
Cep,322.1650,70.5607,342.4201,66.2004
Cet,40.8252,3.2358,38.9686,5.5932
Cet,38.9686,5.5932,37.0398,8.4601
Cet,37.0398,8.4601,41.2356,10.1141
Cet,41.2356,10.1141,44.9288,8.9074
Cet,44.9288,8.9074,45.5699,4.0897
Cet,45.5699,4.0897,40.8252,3.2358
Cet,40.8252,3.2358,39.8707,0.3285
Cet,39.8707,0.3285,34.8366,-2.9776
Cet,34.8366,-2.9776,27.8651,-10.3350
Cet,27.8651,-10.3350,26.0170,-15.9375
Cet,26.0170,-15.9375,10.8974,-17.9866
Cet,10.8974,-17.9866,4.8570,-8.8239
Cet,4.8570,-8.8239,17.1475,-10.1823
Cet,17.1475,-10.1823,21.0059,-8.1833
Cet,21.0059,-8.1833,27.8651,-10.3350
